"name","ipv4address","enabled","distinguishedname","LastLogonDate","OperatingSystem"
"DUCCLS-C745KH2","None Found","True","CN=DUCCLS-C745KH2,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","7/12/2021 10:52:15 AM","Windows 10 Enterprise"
"CLSCLS4090702","None Found","True","CN=CLSCLS4090702,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/15/2021 10:34:47 AM","Windows 10 Enterprise"
"UC-PLY4155211","None Found","True","CN=UC-PLY4155211,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/13/2021 4:14:26 PM","Windows 10 Enterprise"
"UC-PLY4155212","None Found","True","CN=UC-PLY4155212,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","9/17/2021 10:16:47 AM","Windows 10 Enterprise"
"CLSCLS4090670","None Found","True","CN=CLSCLS4090670,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/7/2020 1:21:42 PM","Windows 10 Enterprise"
"CLSCLS4084980","None Found","True","CN=CLSCLS4084980,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","11/21/2019 10:53:49 AM","Windows 10 Enterprise"
"UC-PLY4174053","None Found","True","CN=UC-PLY4174053,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","7/13/2021 11:06:23 AM","Windows 10 Enterprise"
"CLSCLS4084951","None Found","True","CN=CLSCLS4084951,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/8/2021 8:13:07 PM","Windows 10 Enterprise"
"CISA4155207","None Found","True","CN=CISA4155207,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","2/1/2021 1:08:38 PM","Windows 10 Enterprise"
"CLSCLS4102624","None Found","True","CN=CLSCLS4102624,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/11/2021 1:04:01 PM","Windows 10 Enterprise"
"CISA4155208","None Found","True","CN=CISA4155208,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","2/3/2021 7:58:42 PM","Windows 10 Enterprise"
"CLSCLS4122819","None Found","True","CN=CLSCLS4122819,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/13/2021 12:05:37 PM","Windows 10 Enterprise"
"CLSCLS4080638","None Found","True","CN=CLSCLS4080638,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/15/2021 10:44:34 AM","Windows 10 Enterprise"
"CLSCLS4155180","None Found","True","CN=CLSCLS4155180,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","3/4/2020 3:52:37 PM","Windows 10 Enterprise"
"CLSCLS4090671","None Found","True","CN=CLSCLS4090671,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/13/2021 4:42:33 AM","Windows 10 Enterprise"
"CLSHUM4090747","None Found","True","CN=CLSHUM4090747,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/17/2021 11:30:36 AM","Windows 10 Enterprise"
"CLSCLS4155225","None Found","True","CN=CLSCLS4155225,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","9/21/2021 11:56:58 AM","Windows 10 Enterprise"
"CLSCLS4155079","None Found","True","CN=CLSCLS4155079,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/10/2019 3:38:32 AM","Windows 10 Enterprise"
"CLSSM-4108797","None Found","True","CN=CLSSM-4108797,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","1/12/2021 4:30:18 PM","Windows 10 Enterprise"
"CLSSM-4096126","None Found","True","CN=CLSSM-4096126,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","6/5/2020 1:48:49 PM","Windows 10 Enterprise"
"CLSCLS4108791","None Found","True","CN=CLSCLS4108791,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","7/12/2021 2:00:21 PM","Windows 10 Enterprise"
"CLSCLS4108799","None Found","True","CN=CLSCLS4108799,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","7/13/2021 8:03:34 AM","Windows 10 Enterprise"
"CLSCLS4084972","None Found","True","CN=CLSCLS4084972,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/9/2021 4:35:56 PM","Windows 10 Enterprise"
"CLSCLS4090705","None Found","True","CN=CLSCLS4090705,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","1/31/2020 9:07:18 AM","Windows 10 Enterprise"
"CLSSM-4108801","None Found","True","CN=CLSSM-4108801,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","12/14/2019 1:13:50 PM","Windows 10 Enterprise"
"CISA4060920","None Found","True","CN=CISA4060920,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","9/30/2021 4:50:49 PM","Windows 10 Enterprise"
